X,Y,Profundidade,Rugosidade,Z,Nó
694561.6387,7460320.882,2.1632,0.02,-2.1632,317
694572.8875,7460305.114,2.4952,0.02,-2.4952,318
694580.9216,7460287.769,2.9365,0.02,-2.9365,319
694588.9558,7460270.424,3.4812,0.02,-3.4812,320
694595.1798,7460255.064,3.8983,0.02,-3.8983,321
694931.6352,7459763.837,13.3515,0.02,-13.3515,322
694963.6642,7459717.687,13.6761,0.02,-13.6761,323
694899.6063,7459809.987,13.0473,0.02,-13.0473,324
695031.1359,7459617.239,14.3414,0.02,-14.3414,325
694997.4,7459667.463,14.0257,0.02,-14.0257,326
694872.1576,7459850.615,12.7999,0.02,-12.7999,327
694844.7089,7459891.244,12.5292,0.02,-12.5292,328
694823.1576,7459921.339,12.3219,0.02,-12.3219,329
694801.6063,7459951.434,12.2403,0.02,-12.2403,330
694782.695,7459984.031,12.0273,0.02,-12.0273,331
694611.8417,7460089.75,8.1938,0.02,-8.1938,332
694632.3493,7460105.617,8.8462,0.02,-8.8462,333
694506.5,7460398.5,2.48,0.15,-2.48,334
694510.5,7460392,2.48,0.15,-2.48,335
694508.5,7460395.25,2.48,0.15,-2.48,336
694483,7460383,2.48,0.15,-2.48,337
694487,7460377,2.48,0.15,-2.48,338
694485,7460380,2.48,0.15,-2.48,339
694678.3052,7460070.07,10.0788,0.02,-10.0788,340
694703.0795,7460010.917,11.631,0.02,-11.631,341
694665.8312,7460098.687,9.2988,0.02,-9.2988,342
694690.7791,7460041.453,10.8947,0.02,-10.8947,343
694715.3798,7459980.381,12.0522,0.02,-12.0522,344
694587.94,7460228.5,4.1028,0.02,-4.1028,345
694586.6457,7460195.762,4.709,0.02,-4.709,346
694587.2929,7460212.131,4.3487,0.02,-4.3487,347
694537.19,7460332.9,2.0263,0.02,-2.0263,348
694547.0725,7460315.164,2.1296,0.02,-2.1296,349
694556.955,7460297.427,2.4052,0.02,-2.4052,350
694563.8025,7460280.964,2.7305,0.02,-2.7305,351
694570.65,7460264.5,3.1275,0.02,-3.1275,352
694579.295,7460246.5,3.597,0.02,-3.597,353
694837.3207,7459700.168,14.0349,0.02,-14.0349,354
694860.4013,7459647.206,14.508,0.02,-14.508,355
694814.2401,7459753.129,13.5381,0.02,-13.5381,356
694906.9897,7459524.443,15.508,0.02,-15.508,357
694883.6955,7459585.825,14.9979,0.02,-14.9979,358
694794.7703,7459798.942,13.1783,0.02,-13.1783,359
694775.3005,7459844.755,12.9218,0.02,-12.9218,360
694760.5105,7459876.632,12.7643,0.02,-12.7643,361
694745.7204,7459908.509,12.6397,0.02,-12.6397,362
694730.5501,7459944.445,12.4286,0.02,-12.4286,363
694609.9889,7460063.532,8.449,0.02,-8.449,364
694637.9101,7460081.11,9.448,0.02,-9.448,365
694600.7735,7460035.332,8.3487,0.02,-8.3487,366
694639.5393,7460052.701,9.9271,0.02,-9.9271,367
694641.1686,7460024.292,10.5264,0.02,-10.5264,368
694650.9885,7459992.334,11.1239,0.02,-11.1239,369
694660.8084,7459960.377,11.3587,0.02,-11.3587,370
694670.1547,7459924.828,11.6347,0.02,-11.6347,371
694679.5009,7459889.279,11.8903,0.02,-11.8903,372
694558.8975,7460242.5,3.0831,0.02,-3.0831,373
694566.8229,7460195.881,4.0878,0.02,-4.0878,374
694566.1464,7460211.066,3.7146,0.02,-3.7146,375
694552.325,7460258.75,2.7247,0.02,-2.7247,376
694565.47,7460226.25,3.4664,0.02,-3.4664,377
694529.095,7460319.45,1.9915,0.02,-1.9915,378
694535.0362,7460304.082,2.0765,0.02,-2.0765,379
694521,7460306,1.9683,0.02,-1.9683,380
694523,7460293,1.9631,0.02,-1.9631,381
694540.9775,7460288.714,2.2293,0.02,-2.2293,382
694546.6512,7460273.732,2.4406,0.02,-2.4406,383
694733.4473,7459669.032,13.9537,0.02,-13.9537,384
